time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-17 00:00:00+00:00,2,2,9,3
2023-10-18 00:00:00+00:00,4,4,0,0
2023-10-19 00:00:00+00:00,35,5,8,5
2023-10-20 00:00:00+00:00,107,9,12,5
2023-10-21 00:00:00+00:00,64,17,5,4
2023-10-22 00:00:00+00:00,7,5,7,2
2023-10-23 00:00:00+00:00,22,11,5,3
2023-10-24 00:00:00+00:00,6,4,28,3
2023-10-25 00:00:00+00:00,4,4,4,2
2023-10-26 00:00:00+00:00,49,7,53,6
2023-10-27 00:00:00+00:00,86,10,64,7
2023-10-28 00:00:00+00:00,29,7,33,3
2023-10-29 00:00:00+00:00,13,4,37,3
2023-10-30 00:00:00+00:00,118,12,81,9
2023-10-31 00:00:00+00:00,145,16,86,6
2023-11-01 00:00:00+00:00,2,2,77,9
2023-11-02 00:00:00+00:00,5,3,84,7
2023-11-03 00:00:00+00:00,23,4,90,10
2023-11-04 00:00:00+00:00,26,7,52,5
2023-11-05 00:00:00+00:00,27,6,10,3
2023-11-06 00:00:00+00:00,61,10,117,5
2023-11-07 00:00:00+00:00,73,8,37,4
2023-11-08 00:00:00+00:00,9,6,28,8
2023-11-09 00:00:00+00:00,9,6,47,10
2023-11-10 00:00:00+00:00,5,5,11,2
2023-11-11 00:00:00+00:00,5,5,8,4
2023-11-12 00:00:00+00:00,6,6,1,1
2023-11-13 00:00:00+00:00,4,4,36,2
2023-11-14 00:00:00+00:00,6,6,15,5
2023-11-15 00:00:00+00:00,4,4,23,3
2023-11-16 00:00:00+00:00,3,3,23,3
2023-11-17 00:00:00+00:00,4,4,4,4
2023-11-18 00:00:00+00:00,16,6,1,1
2023-11-19 00:00:00+00:00,2,2,26,2
2023-11-20 00:00:00+00:00,29,7,14,2
2023-11-21 00:00:00+00:00,32,5,68,5
2023-11-22 00:00:00+00:00,86,8,60,4
2023-11-23 00:00:00+00:00,6,4,5,3
2023-11-24 00:00:00+00:00,52,9,20,5
2023-11-25 00:00:00+00:00,83,9,9,2
2023-11-26 00:00:00+00:00,6,4,1,1
2023-11-27 00:00:00+00:00,5,5,38,18
2023-11-28 00:00:00+00:00,5,5,18,4
2023-11-29 00:00:00+00:00,6,5,4,2
2023-11-30 00:00:00+00:00,4,4,15,4
2023-12-01 00:00:00+00:00,3,3,48,4
2023-12-02 00:00:00+00:00,6,6,16,2
2023-12-03 00:00:00+00:00,3,3,2,2
2023-12-04 00:00:00+00:00,5,5,111,7
2023-12-05 00:00:00+00:00,5,5,13,5
2023-12-06 00:00:00+00:00,4,4,207,3
2023-12-07 00:00:00+00:00,4,4,168,3
2023-12-08 00:00:00+00:00,4,4,50,2
2023-12-09 00:00:00+00:00,42,8,33,4
2023-12-10 00:00:00+00:00,7,5,14,4
2023-12-11 00:00:00+00:00,28,8,149,6
2023-12-12 00:00:00+00:00,24,7,34,8
2023-12-13 00:00:00+00:00,8,5,65,6
2023-12-14 00:00:00+00:00,3,3,17,4
2023-12-15 00:00:00+00:00,4,4,23,8
2023-12-16 00:00:00+00:00,22,10,20,3
2023-12-17 00:00:00+00:00,3,3,21,5
2023-12-18 00:00:00+00:00,7,5,46,5
2023-12-19 00:00:00+00:00,4,4,31,3
2023-12-20 00:00:00+00:00,4,4,102,5
2023-12-21 00:00:00+00:00,5,5,7,3
2023-12-22 00:00:00+00:00,4,4,58,3
2023-12-23 00:00:00+00:00,4,4,1,1
2023-12-24 00:00:00+00:00,4,4,0,0
2023-12-25 00:00:00+00:00,5,5,4,2
2023-12-26 00:00:00+00:00,4,4,0,0
2023-12-27 00:00:00+00:00,15,6,17,5
2023-12-28 00:00:00+00:00,23,9,1,1
2023-12-29 00:00:00+00:00,3,3,12,4
2023-12-30 00:00:00+00:00,7,7,4,2
2023-12-31 00:00:00+00:00,5,5,4,3
2024-01-01 00:00:00+00:00,9,7,15,4
2024-01-02 00:00:00+00:00,6,5,5,3
2024-01-03 00:00:00+00:00,4,4,12,4
2024-01-04 00:00:00+00:00,4,4,9,3
2024-01-05 00:00:00+00:00,5,5,7,2
2024-01-06 00:00:00+00:00,4,4,1,1
2024-01-07 00:00:00+00:00,4,4,6,3
2024-01-08 00:00:00+00:00,5,5,3,2
2024-01-09 00:00:00+00:00,3,3,21,2
2024-01-10 00:00:00+00:00,6,6,2,1
2024-01-11 00:00:00+00:00,6,6,90,1
2024-01-12 00:00:00+00:00,6,6,14,7
2024-01-13 00:00:00+00:00,6,5,34,6
2024-01-14 00:00:00+00:00,5,5,5,4
2024-01-15 00:00:00+00:00,7,7,18,3
2024-01-16 00:00:00+00:00,6,6,90,10
